FarmID,No. of Labor,,,,,,Labor cost per day (USD),,,,,,Production cost per kg fish (),,,,,,,,Feed cost per kg,,,,,,,,Pharmaceutical cost per hectre,,,,,,,,Fish selling price (BDT/kg),,,,,,,
,Permanent Labor,,Seasonal labor,,Non-aquaculture labor,,Permanent Labor,,Seasonal labor,,Non-aquaculture labor,,Carps,,Pangas,,Tilapia,,Other catfishes,,Carps,,Pangas,,Tilapia,,Other catfishes,,Carps,,Pangas,,Tilapia,,Other catfishes,,Carps,,Pangas,,Tilapia,,Other catfish,
,PermLab_1,PermLab_2,SeasLab_1,SeasLab_2,NonAqLab_1,NonAqLab_2,PermLabCOST_1,PermLabCOST_2,SeasLabCOST_1,SeasLabCOST_2,NonAqLabCOST_1,NonAqLabCOST_2,ProdCOST_Carp_1,ProdCOST_Carp_2,ProdCOST_Pang_1,ProdCOST_Pang_2,ProdCOST_Tila_1,ProdCOST_Tila_2,ProdCOST_OtherCat_1,ProdCOST_OtherCat_2,FeedCOST_Carp_1,FeedCOST_Carp_2,FeedCOST_Pang_1,FeedCOST_Pang_2,FeedCOST_Tila_1,FeedCOST_Tila_2,FeedCOST_OtherCat_1,FeedCOST_OtherCat_2,PharmCOST_Carp_1,PharmCOST_Carp_2,PharmCOST_Pang_1,PharmCOST_Pang_2,PharmCOST_Tila_1,PharmCOST_Tila_2,PharmCOST_OtherCat_1,PharmCOST_OtherCat_2,GatePRICE_Carp_1,GatePRICE_Carp_2,GatePRICE_Pang_1,GatePRICE_Pang_2,GatePRICE_Tila_1,GatePRICE_Tila_2,GatePRICE_OtherCat_1,GatePRICE_OtherCat_2
F21,1,1,1,0,0,0,5.95,5.95,5.35,NA,NA,NA,88,100,72,80,72,75,200,230,26,30,42,42,36,40,50,52,45000,48000,16000,20000,27000,32000,52000,55000,125,115,84,77,75,72,320,300
F22,4,3,3,3,2,1,3.17,3.17,4.17,3.57,4.76,2.97,NA,NA,70,75,65,72,150,180,NA,NA,35,39,35,36,50,54,NA,NA,22000,25000,28000,30000,50000,55000,NA,NA,88,82,83,75,250,220
F23,0,0,2,2,1,1,NA,NA,2.97,2.97,4.76,4.76,87,95,70,75,76,75,160,180,31,35,38,40,35,35,48,52,40000,45000,25000,28000,22000,20000,45000,48000,110,90,88,80,85,75,280,250
F24,3,3,3,3,2,0,3.17,2.77,3.57,3.57,4.76,NA,NA,NA,68,75,78,85,NA,NA,NA,NA,38,42,38,40,NA,NA,NA,NA,18000,20000,25000,25000,NA,NA,NA,NA,85,80,80,74,NA,NA
F25,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,92,100,75,NA,68,72,160,180,30,34,NA,NA,40,42,48,50,35000,38000,NA,NA,22000,25000,35000,40000,120,110,NA,NA,75,70,260,220
F26,5,2,4,6,3,2,3.96,4.36,3.57,2.97,3.57,3.57,95,105,76,85,65,70,165,190,32,35,42,45,38,42,45,52,50000,55000,12000,15000,28000,30000,40000,42000,115,105,85,78,82,75,260,230
F27,1,1,2,1,2,1,2.77,2.77,4.96,3.57,2.97,2.38,95,115,72,80,70,80,150,170,31,35,44,48,38,40,44,50,52000,55000,12000,14000,15000,15000,52000,55000,115,110,95,86,80,75,300,250
F28,4,3,4,4,3,1,3.96,3.96,5.35,4.96,2.97,2.38,NA,NA,70,76,72,80,190,220,30,NA,40,42,32,35,55,62,NA,NA,15000,18000,18000,20000,44000,45000,NA,NA,87,80,78,75,310,280
F29,0,0,1,0,3,2,NA,NA,3.57,NA,3.57,3.57,100,110,NA,NA,NA,NA,160,200,30,32,NA,NA,NA,NA,56,60,38000,45000,NA,NA,NA,NA,40000,45000,125,115,NA,NA,NA,NA,320,280
F30,2,1,2,2,1,0,2.38,2.96,3.57,3.57,4.76,NA,90,105,68,74,72,76,170,200,25,28,42,42,35,35,54,60,32000,40000,15000,20000,18000,18000,40000,40000,120,110,88,82,82,74,320,280
F31,3,3,3,2,1,0,3.17,3.17,4.96,3.57,4.76,NA,90,100,70,78,70,75,180,220,26,28,40,45,35,38,50,55,35000,37000,12000,15000,20000,20000,45000,45000,105,90,88,81,74,70,280,250
F32,1,1,1,0,1,0,3.96,3.57,3.57,NA,3.57,NA,NA,NA,75,82,75,80,180,200,NA,NA,38,40,36,40,50,52,NA,NA,15000,20000,22000,25000,55000,60000,NA,NA,85,78,76,72,300,260
F33,3,1,3,3,1,0,3.17,3.96,4.96,4.96,4.76,NA,95,100,70,80,70,72,170,210,25,30,38,42,32,36,52,55,50000,55000,18000,20000,20000,22000,48000,50000,110,100,90,84,75,72,250,220
F34,2,1,1,2,1,0,3.57,3.57,5.35,4.96,4.76,NA,NA,NA,76,80,75,80,150,180,NA,NA,40,42,38,40,48,54,NA,NA,12000,14000,25000,30000,50000,55000,NA,NA,87,82,72,68,310,270
F35,3,1,0,1,1,1,2.77,3.57,3.57,NA,NA,NA,90,110,72,80,78,80,160,190,28,32,36,40,40,43,45,50,35000,40000,20000,25000,22000,26000,45000,48000,120,115,92,85,84,75,280,260
F36,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,90,105,NA,NA,NA,NA,NA,NA,25,29,NA,NA,38,NA,NA,NA,32000,35000,NA,NA,NA,NA,NA,NA,120,105,NA,NA,NA,NA,NA,NA
F37,2,2,1,0,0,0,3.96,3.96,3.57,NA,NA,NA,88,100,74,80,72,75,200,220,26,30,38,40,40,44,52,58,45000,50000,20000,22000,15000,18000,42000,45000,125,105,90,85,80,75,300,280
F38,3,2,1,2,2,0,3.17,3.17,3.57,3.57,2.97,NA,86,95,70,75,68,75,180,220,25,28,42,44,35,38,57,60,35000,40000,10000,15000,20000,20000,45000,45000,115,100,95,87,80,76,290,250
F39,3,2,2,3,2,1,3.96,3.57,3.57,2.97,2.97,2.38,92,NA,66,72,70,75,190,210,NA,NA,40,42,36,38,55,62,NA,NA,22000,25000,22000,25000,48000,50000,NA,NA,90,80,78,72,300,270
F40,1,1,0,1,1,1,4.36,4.36,NA,2.97,3.57,3.57,95,NA,68,74,72,78,160,190,NA,NA,38,42,32,35,50,55,NA,NA,15000,17000,30000,35000,50000,52000,NA,NA,88,80,82,75,280,250
